symbol,date,open,high,low,close,volume,adjusted
TR,1987-12-31,4.083359,4.256382,4.083359,4.256382,25286,2.75593
TR,1988-01-04,4.256382,4.394801,4.221778,4.290987,40457,2.778338
TR,1988-01-05,4.360197,4.637034,4.360197,4.464011,114146,2.890368
TR,1988-01-06,4.53322,4.550523,4.360197,4.515918,60685,2.923977
TR,1988-01-07,4.498616,5.069594,4.498616,5.017687,103310,3.248863
TR,1988-01-08,4.913872,4.913872,4.429406,4.429406,174832,2.867962
TR,1988-01-11,4.498616,4.671639,4.394801,4.394801,162550,2.845556
TR,1988-01-12,4.429406,4.464011,4.394801,4.429406,56351,2.867962
TR,1988-01-13,4.394801,4.53322,4.394801,4.53322,30343,2.935179
TR,1988-01-14,4.464011,4.515918,4.446708,4.464011,38290,2.890368
TR,1988-01-15,4.53322,4.60243,4.429406,4.429406,43347,2.867962
TR,1988-01-18,4.360197,4.412104,4.360197,4.412104,34677,2.856758
TR,1988-01-19,4.377499,4.464011,4.377499,4.429406,17339,2.867962
TR,1988-01-20,4.394801,4.464011,4.360197,4.360197,33232,2.82315
TR,1988-01-21,4.325592,4.377499,4.325592,4.377499,7224,2.834352
TR,1988-01-22,4.377499,4.377499,4.325592,4.325592,35400,2.800745
TR,1988-01-25,4.360197,4.394801,4.325592,4.360197,45514,2.82315
TR,1988-01-26,4.360197,4.360197,4.325592,4.342894,19506,2.811946
TR,1988-01-27,4.308289,4.325592,4.290987,4.290987,20951,2.778338
TR,1988-01-28,4.221778,4.325592,4.221778,4.308289,29620,2.78954
TR,1988-01-29,4.273685,4.308289,4.204475,4.308289,30343,2.78954
TR,1988-02-01,4.308289,4.308289,4.273685,4.273685,34677,2.767135
TR,1988-02-02,4.308289,4.498616,4.169871,4.498616,52016,2.912774
TR,1988-02-03,4.53322,4.671639,4.53322,4.567825,25286,2.957586
TR,1988-02-04,4.567825,4.585127,4.567825,4.585127,5057,2.968787
TR,1988-02-05,4.60243,4.60243,4.498616,4.515918,13004,2.923977
TR,1988-02-08,4.481313,4.481313,4.360197,4.394801,16616,2.845556
TR,1988-02-09,4.429406,4.429406,4.394801,4.394801,8669,2.845556
TR,1988-02-10,4.429406,4.446708,4.394801,4.412104,10114,2.856758
TR,1988-02-11,4.446708,4.498616,4.412104,4.446708,34677,2.879164
TR,1988-02-12,4.446708,4.446708,4.412104,4.412104,2167,2.856758
TR,1988-02-16,4.429406,4.429406,4.394801,4.412104,18784,2.856758
TR,1988-02-17,4.446708,4.446708,4.360197,4.360197,28175,2.82315
TR,1988-02-18,4.342894,4.342894,4.325592,4.342894,5780,2.811946
TR,1988-02-19,4.342894,4.342894,4.308289,4.325592,10837,2.800745
TR,1988-02-22,4.342894,4.342894,4.256382,4.325592,18784,2.800745
TR,1988-02-23,4.290987,4.290987,3.910335,4.048754,217456,2.621497
TR,1988-02-24,4.083359,4.083359,3.841126,3.94494,187113,2.554278
TR,1988-02-25,3.979544,4.014149,3.94494,3.94494,77302,2.554278
TR,1988-02-26,3.87573,3.910335,3.823823,3.823823,54183,2.475858
TR,1988-02-29,3.858428,3.979544,3.858428,3.979544,116314,2.576684
TR,1988-03-01,4.048754,4.100661,3.94494,4.014149,81636,2.59909
TR,1988-03-02,4.048754,4.048754,3.94494,4.014149,19506,2.59909
TR,1988-03-03,4.014149,4.066056,3.996847,3.996847,19506,2.587887
TR,1988-03-04,3.996847,4.066056,3.87573,3.94494,101142,2.554278
TR,1988-03-07,3.94494,3.94494,3.893033,3.94494,19506,2.554278
TR,1988-03-08,3.979544,4.014149,3.94494,3.94494,13004,2.554278
TR,1988-03-09,3.94494,4.325592,3.94494,4.290987,113424,2.778338
TR,1988-03-10,4.325592,4.342894,4.187173,4.187173,50571,2.71112
TR,1988-03-11,4.066056,4.187173,4.066056,4.152568,35400,2.693789
TR,1988-03-14,4.083359,4.083359,4.083359,4.083359,20228,2.648892
TR,1988-03-15,4.066056,4.100661,4.031452,4.066056,20228,2.637668
TR,1988-03-16,4.031452,4.031452,4.014149,4.031452,16616,2.615223
TR,1988-03-17,4.048754,4.048754,4.014149,4.014149,5057,2.603997
TR,1988-03-18,4.031452,4.031452,3.962242,3.979544,25286,2.581548
TR,1988-03-21,3.94494,3.94494,3.927637,3.927637,35400,2.547877
TR,1988-03-22,3.979544,3.979544,3.94494,3.979544,27453,2.581548
TR,1988-03-23,3.94494,3.996847,3.94494,3.996847,119203,2.592773
